custid	region	townsize	gender	age	agecat	birthmonth	ed	edcat	jobcat	union	employ	empcat	retire	income	lninc	inccat	debtinc	creddebt	lncreddebt	othdebt	lnothdebt	default	jobsat	marital	spoused	spousedcat	reside	pets	pets_cats	pets_dogs	pets_birds	pets_reptiles	pets_small	pets_saltfish	pets_freshfish	homeown	hometype	address	addresscat	cars	carown	cartype	carvalue	carcatvalue	carbought	carbuy	commute	commutecat	commutetime	commutecar	commutemotorcycle	commutecarpool	commutebus	commuterail	commutepublic	commutebike	commutewalk	commutenonmotor	telecommute	reason	polview	polparty	polcontrib	vote	card	cardtype	cardbenefit	cardfee	cardtenure	cardtenurecat	card2	card2type	card2benefit	card2fee	card2tenure	card2tenurecat	carditems	cardspent	card2items	card2spent	active	bfast	tenure	churn	longmon	lnlongmon	longten	lnlongten	tollfree	tollmon	lntollmon	tollten	lntollten	equip	equipmon	lnequipmon	equipten	lnequipten	callcard	cardmon	lncardmon	cardten	lncardten	wireless	wiremon	lnwiremon	wireten	lnwireten	multline	voice	pager	internet	callid	callwait	forward	confer	ebill	owntv	hourstv	ownvcr	owndvd	owncd	ownpda	ownpc	ownipod	owngame	ownfax	news	response_01	response_02	response_03
0223-CJYGFZ-D4C	Zone 1	50,000-249,999	Female	30	25-34	November	15	Some college	Managerial and Professional	No	4	2 to 5	No	30	3,40119738166216	$25 - $49	7,6	,64752	-,434605597854582	1,63248	,490100330944858	No	Neutral	Married	14	High school degree	2	0	0	0	0	0	0	0	0	Own	Single-family	4	4 to 7	2	Own	Import	14,6	Economy	No	Yes	Car	Single occupancy	17	Yes	No	No	No	No	No	No	No	No	No	No response	Slightly liberal	No	No	Yes	Discover	None	None	Yes	1	Less than 2	American Express	Platinum	Other	No	1	Less than 2	9	260,28	6	185,53	Yes	Cereal	1	Yes	1,4	,336472236621213	1,4	,336472236621213	Yes	12	2,484906649788	12	2,484906649788	No	0	 	0	 	Yes	8	2,07944154167984	8	2,07944154167984	No	0	 	0	 	No	No	No	Cable modem	Yes	Yes	Yes	Yes	No	Yes	13	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No
8213-ULVBFE-QAM	Zone 4	2,500-9,999	Male	25	25-34	July	13	High school degree	Agricultural and Natural Resources	No	5	2 to 5	No	26	3,25809653802148	$25 - $49	7,8	,551616	-,594903126957203	1,476384	,389595854943486	No	Somewhat dissatisfied	Unmarried	Not married	Not married	2	4	0	0	0	0	0	0	4	Rent	Multiple-Family	4	4 to 7	3	Own	Domestic	15,4	Economy	No	Yes	Car	Single occupancy	27	Yes	No	No	No	No	No	Yes	No	No	No	No response	Moderate	No	No	No	Mastercard	Other	Cash back	No	7	6 to 10	Other	Other	Cash back	No	6	6 to 10	12	199,77	5	161,04	No	Cereal	11	No	8,05	2,08567209143047	106,6	4,66908351173174	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	None	Yes	Yes	No	No	No	Yes	15	Yes	Yes	No	No	Yes	No	No	No	No	No	No	No
7878-OANAFE-X5M	Zone 4	2,500-9,999	Female	24	18-24	July	12	High school degree	Sales and Office	No	0	Less than 2	No	24	3,17805383034795	Under $25	14,3	,56628	-,568666623455841	2,86572	1,05281962749443	Yes	Highly dissatisfied	Unmarried	Not married	Not married	3	0	0	0	0	0	0	0	0	Rent	Multiple-Family	2	Less than 3	3	Own	Import	11,7	Economy	Yes	Yes	Car	Single occupancy	31	Yes	No	No	Yes	No	No	No	Yes	No	No	No response	Moderate	No	No	No	Visa	Gold	Airline miles	No	4	2 to 5	Discover	None	None	No	5	2 to 5	12	407,29	6	202,48	No	Energy bar	15	No	4,05	1,39871688111845	51,05	3,93280554461067	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	None	No	No	No	No	No	Yes	17	No	Yes	Yes	No	No	Yes	Yes	No	No	No	No	No
9054-XWRNMX-8D4	Zone 1	> 250,000	Female	78	>65	December	15	Some college	Managerial and Professional	No	8	6 to 10	Yes	23	3,13549421592915	Under $25	2,8	,435344	-,831618755816956	,208656	-1,56706831606759	No	Neutral	Unmarried	Not married	Not married	1	2	2	0	0	0	0	0	0	Own	Single-family	22	16 to 25	1	Own	Import	11,8	Economy	No	Yes	Car	Single occupancy	19	Yes	No	No	Yes	No	No	No	No	No	No	No response	Moderate	No	No	Yes	Mastercard	Gold	Cash back	Yes	16	More than 15	Visa	Other	Other	No	17	More than 15	8	167,73	2	37,9	Yes	Cereal	48	No	14,5	2,67414864942653	649,25	6,47581785054286	Yes	31,5	3,44998754583159	1465,3	7,28981527864398	Yes	42,2	3,74242022104197	2007,55	7,604670352111	Yes	10	2,30258509299405	460	6,13122648948314	No	0	 	0	 	No	Yes	No	Dial-up	Yes	Yes	Yes	Yes	Yes	Yes	21	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	No	No	No
8447-RADRWX-LVS	Zone 1	> 250,000	Male	44	35-49	December	16	Some college	Managerial and Professional	Yes	8	6 to 10	No	50	3,91202300542815	$50 - $74	10,8	1,0584	,0567583338186089	4,3416	1,46824294376706	No	Somewhat dissatisfied	Married	17	College degree	4	0	0	0	0	0	0	0	0	Own	Condominium/Townhouse	13	8 to 15	4	Own	Domestic	20,5	Standard	Yes	No	Car	Single occupancy	20	Yes	No	Yes	No	No	No	No	No	No	No	No response	Conservative	Yes	Yes	No	American Express	None	Cash back	Yes	13	11 to 15	Visa	None	Airline miles	No	11	11 to 15	9	189,64	4	121,04	Yes	Cereal	37	No	5,75	1,74919985480926	184,35	5,21683612468015	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	DSL	No	No	No	No	No	Yes	23	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	No
7132-VYXCMK-4NW	Zone 5	< 2,500	Male	26	25-34	August	12	High school degree	Service	Yes	4	2 to 5	No	41	3,71357206670431	$25 - $49	12,8	,34112	-1,07552095744471	4,90688	1,59063830194834	No	Neutral	Unmarried	Not married	Not married	3	8	4	0	0	0	0	0	4	Own	Condominium/Townhouse	4	4 to 7	1	Own	Domestic	21,5	Standard	No	No	Bus	Public transportation	46	No	No	Yes	Yes	No	No	No	Yes	No	No	No response	Slightly conservative	No	No	No	Mastercard	Platinum	None	No	8	6 to 10	American Express	Platinum	Cash back	No	8	6 to 10	9	375,23	10	296,18	Yes	Cereal	44	No	6,75	1,90954250488444	312,2	5,74364400808133	Yes	27,25	3,30505352110925	1271,5	7,14795258486217	No	0	 	0	 	Yes	4,25	1,44691898293633	180	5,19295685089021	No	0	 	0	 	No	Yes	No	None	Yes	Yes	Yes	Yes	No	Yes	22	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No
7141-RFLBFZ-1W2	Zone 2	> 250,000	Male	19	18-24	February	11	Did not complete high school	Managerial and Professional	No	0	Less than 2	No	18	2,89037175789616	Under $25	11,1	,643356	-,441057053211367	1,354644	,30353868918462	Yes	Highly dissatisfied	Unmarried	Not married	Not married	1	2	0	2	0	0	0	0	0	Rent	Single-family	0	Less than 3	4	Own	Domestic	6,3	Economy	Yes	Yes	Car	Single occupancy	25	Yes	Yes	No	Yes	No	Yes	No	No	No	No	Convenience	Conservative	Yes	Yes	No	Discover	Platinum	Other	No	1	Less than 2	Visa	Platinum	Other	No	1	Less than 2	7	201,41	8	237,03	Yes	Energy bar	19	No	6,05	1,80005827204275	110,7	4,70682383971459	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	None	No	Yes	No	No	No	Yes	14	Yes	Yes	Yes	No	No	No	Yes	No	No	No	Yes	No
0023-WKLZQN-M6X	Zone 5	> 250,000	Female	35	35-49	May	17	College degree	Sales and Office	No	2	2 to 5	No	51	3,93182563272433	$50 - $74	2,4	,515304	-,662998261209621	,708696	-,344328617319007	No	Highly dissatisfied	Married	18	College degree	2	2	0	0	2	0	0	0	0	Rent	Multiple-Family	4	4 to 7	4	Own	Domestic	26,1	Standard	Yes	No	Car	Single occupancy	20	Yes	No	Yes	No	No	No	No	No	No	No	Prices	Slightly conservative	No	No	No	Visa	Gold	None	No	1	Less than 2	Discover	Platinum	Airline miles	No	1	Less than 2	9	185,69	1	31,77	Yes	Cereal	2	Yes	2,7	,993251773010283	5,7	1,7404661748405	Yes	17,75	2,87638551592142	44,55	3,79661215391682	No	0	 	0	 	Yes	23,5	3,15700042115011	25	3,2188758248682	Yes	26,15	3,26384919051093	35,25	3,56246552925828	No	Yes	Yes	Dial-up	No	Yes	Yes	Yes	Yes	Yes	18	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No
8483-SKAAOW-I54	Zone 4	2,500-9,999	Female	53	50-64	August	12	High school degree	Service	No	11	11 to 15	No	51	3,93182563272433	$50 - $74	3,5	,54264	-,611309162344313	1,24236	,217012796583885	No	Neutral	Unmarried	Not married	Not married	1	0	0	0	0	0	0	0	0	Rent	Multiple-Family	18	16 to 25	0	N/A	N/A	N/A	N/A	N/A	No	Carpool	Multiple occupancy	25	No	No	Yes	No	No	No	No	No	No	No	Prices	Moderate	No	No	No	Discover	Platinum	None	No	6	6 to 10	Mastercard	Platinum	Cash back	No	5	2 to 5	5	141,11	4	134,87	Yes	Oatmeal	19	No	9,95	2,2975725511705	186,9	5,23057371446152	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	No	DSL	No	No	No	No	No	Yes	20	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No	No
3305-BQDJND-MXY	Zone 5	< 2,500	Female	37	35-49	April	13	High school degree	Managerial and Professional	No	4	2 to 5	No	37	3,61091791264422	$25 - $49	5,5	,592185	-,523936192916086	1,442815	,366596066444549	No	Somewhat dissatisfied	Married	10	Did not complete high school	2	2	2	0	0	0	0	0	0	Own	Single-family	12	8 to 15	3	Own	Domestic	16,8	Economy	No	No	Car	Single occupancy	29	Yes	No	No	Yes	No	No	Yes	No	No	No	No response	Slightly conservative	No	No	Yes	Mastercard	Gold	None	Yes	19	More than 15	Visa	Platinum	Airline miles	No	19	More than 15	5	270,3	5	260,54	Yes	Cereal	53	No	29,7	3,39114704580865	1526,65	7,33083107134996	Yes	26,25	3,26766598903763	1383,75	7,23255248402285	No	0	 	0	 	Yes	45	3,80666248977032	2335	7,755767170103	No	0	 	0	 	No	No	No	None	Yes	Yes	Yes	Yes	No	Yes	11	Yes	Yes	Yes	No	No	No	No	No	No	Yes	No	No
5777-YPSDDH-UKG	Zone 5	10,000-49,999	Male	36	35-49	August	15	Some college	Sales and Office	No	2	2 to 5	No	29	3,36729582998647	$25 - $49	13,1	,869971	-,139295401222409	2,929029	1,07467096878668	No	Highly satisfied	Married	11	Did not complete high school	5	0	0	0	0	0	0	0	0	Own	Single-family	13	8 to 15	2	Lease	Domestic	12,3	Economy	No	No	Train/Subway	Public transportation	29	No	No	Yes	No	Yes	No	No	No	No	No	No response	Liberal	Yes	No	Yes	Mastercard	Gold	None	Yes	16	More than 15	Discover	None	Airline miles	Yes	10	6 to 10	14	463,35	3	101,36	Yes	Cereal	33	No	5,3	1,66770682055808	175,65	5,16849337871184	Yes	25,75	3,24843462710975	875,55	6,77485226031791	No	0	 	0	 	No	0	 	0	 	No	0	 	0	 	No	No	Yes	Dial-up	Yes	Yes	Yes	Yes	No	Yes	12	Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No
0783-RKHBES-4DP	Zone 2	50,000-249,999	Male	69	>65	August	19	College degree	Sales and Office	No	11	11 to 15	No	68	4,21950770517611	$50 - $74	8,8	,454784	-,78793269802363	5,529216	1,71004603333172	No	Neutral	Married	20	Post-undergraduate degree	2	1	0	1	0	0	0	0	0	Own	Single-family	37	More than 25	4	Own	Import	37,6	Standard	No	No	Car	Single occupancy	25	Yes	No	No	Yes	No	No	No	No	No	No	No response	Liberal	Yes	No	No	Visa	Gold	Other	Yes	37	More than 15	Discover	Other	Other	No	28	More than 15	10	258,82	4	131,31	Yes	Energy bar	69	No	22,15	3,09783749649114	1518,15	7,32524776730302	No	0	 	0	 	Yes	40,7	3,70622809244855	2738	7,91498300584839	Yes	12,5	2,52572864430826	835	6,72743172485086	No	0	 	0	 	Yes	No	No	DSL	No	No	No	No	Yes	Yes	24	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	No	No	No
5298-MOJVAW-8JO	Zone 3	> 250,000	Male	78	>65	July	12	High school degree	Managerial and Professional	No	18	More than 15	Yes	10	2,30258509299405	Under $25	4,8	,16176	-1,82164152370998	,31824	-1,14494946387648	No	Highly satisfied	Unmarried	Not married	Not married	1	6	0	0	0	0	0	0	6	Own	Multiple-Family	35	More than 25	4	Lease	Domestic	4,6	Economy	No	Yes	Car	Single occupancy	27	Yes	No	No	No	No	No	No	Yes	No	No	Convenience	Moderate	No	No	Yes	Mastercard	Gold	Airline miles	No	29	More than 15	Visa	Platinum	None	No	19	More than 15	6	115,51	5	107,21	No	Oatmeal	59	No	16,45	2,80032547721138	970,85	6,87817197644046	No	0	 	0	 	No	0	 	0	 	Yes	13,25	2,58399755243223	740	6,60665018619822	No	0	 	0	 	Yes	No	No	None	Yes	No	No	No	No	Yes	21	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No
7896-TBMUIU-3MX	Zone 1	> 250,000	Female	54	50-64	June	13	High school degree	Service	No	19	More than 15	No	109	4,69134788222914	$75 - $124	19,1	5,329664	1,67328819679106	15,489336	2,74015178714459	No	Highly satisfied	Unmarried	Not married	Not married	2	5	4	1	0	0	0	0	0	Own	Single-family	19	16 to 25	3	Own	Import	56,5	Luxury	No	No	Car	Single occupancy	32	Yes	Yes	No	Yes	No	No	No	No	No	No	No response	Slightly conservative	No	No	Yes	American Express	Platinum	Other	Yes	34	More than 15	Visa	Platinum	Other	Yes	25	More than 15	5	146	6	158,83	Yes	Energy bar	67	No	21,75	3,07961375753469	1574,7	7,36182005692636	No	0	 	0	 	Yes	26,35	3,27146827498737	1722,85	7,45173517528029	Yes	29,75	3,39282913199164	1985	7,59337419312129	No	0	 	0	 	Yes	No	No	Dial-up	No	No	Yes	No	No	Yes	19	Yes	Yes	Yes	No	Yes	No	No	No	No	No	No	No
3270-ELCLVJ-0GK	Zone 1	50,000-249,999	Female	64	50-64	December	19	College degree	Operation, Fabrication, General Labor	Yes	22	More than 15	No	158	5,06259503302697	$125+	9,1	6,139406	1,81472799480817	8,238594	2,10882969829428	No	Somewhat satisfied	Married	14	High school degree	2	5	0	0	0	0	0	0	5	Own	Single-family	9	8 to 15	2	Own	Import	90,6	Luxury	Yes	No	Walk	Non-motorized	30	No	No	No	No	No	No	No	Yes	No	No	No response	Moderate	No	No	No	Mastercard	Platinum	Other	No	29	More than 15	Discover	Platinum	Cash back	No	20	More than 15	13	349,77	8	200,11	No	Cereal	62	Yes	10,1	2,31253542384721	628,85	6,44389275449316	Yes	59	4,07753744390572	3667,4	8,20723824311506	Yes	58,95	4,07668962698338	3601,8	8,18918899948585	Yes	44,25	3,78985537145394	2750	7,91935619066062	Yes	58,2	4,06388535473739	3562,35	8,1781757184273	Yes	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	24	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	No
9274-AJOKVY-J1B	Zone 3	10,000-49,999	Female	40	35-49	August	14	High school degree	Sales and Office	No	1	Less than 2	No	47	3,85014760171006	$25 - $49	2,2	,158202	-1,84388258150346	,875798	-,132619808243845	No	Somewhat dissatisfied	Unmarried	Not married	Not married	2	3	1	0	0	2	0	0	0	Own	Single-family	13	8 to 15	5	Own	Domestic	13,8	Economy	No	Yes	Car	Single occupancy	31	Yes	No	No	No	Yes	No	Yes	No	No	No	No response	Slightly liberal	No	No	Yes	Mastercard	Platinum	None	No	5	2 to 5	Visa	Other	Cash back	No	4	2 to 5	9	150,78	1	22,05	No	Oatmeal	12	Yes	7,5	2,01490302054226	101,3	4,61808641125464	No	0	 	0	 	Yes	27,55	3,31600253559892	332,3	5,80603817536055	No	0	 	0	 	Yes	18,9	2,9391619220656	225,85	5,41987106210061	Yes	No	No	Cable modem	No	No	No	No	Yes	Yes	21	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	No
7633-YAOPRP-B7B	Zone 1	50,000-249,999	Female	73	>65	June	19	College degree	Precision Production, Craft, Repair	No	30	More than 15	No	259	5,55682806169954	$125+	13,6	24,022768	3,17900204731478	11,201232	2,41602377225149	Yes	Highly satisfied	Unmarried	Not married	Not married	1	2	2	0	0	0	0	0	0	Own	Condominium/Townhouse	37	More than 25	0	N/A	N/A	N/A	N/A	N/A	Yes	Bus	Public transportation	26	No	No	No	Yes	No	No	No	No	No	No	No response	Extremely liberal	Yes	Yes	Yes	Discover	Platinum	None	No	38	More than 15	Mastercard	Gold	None	No	29	More than 15	10	418,93	6	322,98	No	Cereal	71	No	22,45	3,11129061418826	1695,6	7,43579193947848	Yes	45,25	3,81220267014594	3360,6	8,11987480844384	Yes	46,35	3,83622129201186	3182,15	8,06531234795009	Yes	7,75	2,04769284336526	535	6,28226674689601	Yes	47,35	3,85756681963209	3212,55	8,07482029328469	Yes	Yes	Yes	None	Yes	Yes	Yes	Yes	No	Yes	22	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No
0741-DCRFZX-08A	Zone 1	> 250,000	Male	45	35-49	May	14	High school degree	Service	No	16	More than 15	No	52	3,95124371858143	$50 - $74	6,8	1,831648	,605216108052743	1,704352	,53318497984386	No	Highly satisfied	Unmarried	Not married	Not married	1	1	1	0	0	0	0	0	0	Own	Single-family	18	16 to 25	2	Lease	Import	23,9	Standard	No	Yes	Telecommute	Telecommute	14	Yes	No	Yes	Yes	No	No	No	Yes	No	Yes	No response	Slightly conservative	No	No	Yes	Mastercard	Other	Airline miles	No	3	2 to 5	American Express	Platinum	Other	Yes	1	Less than 2	11	233,09	5	104,29	No	Cereal	6	Yes	3,9	1,3609765531356	23,75	3,16758253048065	Yes	18	2,89037175789616	105,4	4,65776263610726	No	0	 	0	 	Yes	51	3,93182563272433	265	5,57972982598622	Yes	16,75	2,81839825827108	67,5	4,21212759787848	No	Yes	No	None	Yes	Yes	Yes	Yes	No	Yes	29	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	No	Yes
3378-BNCDQV-BD4	Zone 5	2,500-9,999	Female	74	>65	September	12	High school degree	Managerial and Professional	No	18	More than 15	Yes	22	3,09104245335832	Under $25	5,4	,068904	-2,67504104749526	1,119096	,112521216534679	No	Somewhat satisfied	Married	9	Did not complete high school	2	6	0	0	0	0	0	6	0	Rent	Multiple-Family	32	More than 25	1	Lease	Import	14	Economy	No	Yes	Bus	Public transportation	28	No	No	Yes	Yes	Yes	No	Yes	Yes	No	No	No response	Moderate	Yes	No	No	Mastercard	Platinum	None	No	29	More than 15	Visa	Other	Cash back	Yes	21	More than 15	13	298,88	7	137,42	No	Oatmeal	58	No	14,7	2,68784749378469	878,9	6,7786711255706	Yes	25,5	3,23867845216438	1428,35	7,26427521090713	No	0	 	0	 	Yes	5,5	1,70474809223843	290	5,66988092298052	No	0	 	0	 	No	No	No	None	Yes	Yes	Yes	Yes	No	Yes	20	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No
2572-TOGWQI-F7T	Zone 2	10,000-49,999	Male	34	25-34	December	11	Did not complete high school	Service	No	9	6 to 10	No	41	3,71357206670431	$25 - $49	,5	,139195	-1,97187945126717	,065805	-2,72105945569585	No	Highly dissatisfied	Married	15	Some college	4	7	1	0	0	0	0	0	6	Own	Single-family	6	4 to 7	4	Own	Domestic	19,2	Economy	No	Yes	Car	Single occupancy	19	Yes	No	No	No	No	No	No	Yes	No	No	No response	Moderate	Yes	No	No	Mastercard	Gold	Airline miles	No	16	More than 15	Visa	None	None	No	12	11 to 15	14	338,52	2	33,55	Yes	Cereal	48	No	9,9	2,29253475714054	512,6	6,23949581392997	Yes	18,25	2,9041650800285	935	6,84054652928869	No	0	 	0	 	Yes	8	2,07944154167984	390	5,96614673912369	No	0	 	0	 	No	No	No	None	Yes	Yes	Yes	Yes	No	Yes	23	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No
3907-RATHSF-JGQ	Zone 2	2,500-9,999	Male	55	50-64	September	9	Did not complete high school	Sales and Office	No	5	2 to 5	No	22	3,09104245335832	Under $25	6,3	,801108	-,221759509542048	,584892	-,536328064178414	No	Neutral	Married	13	High school degree	3	1	1	0	0	0	0	0	0	Own	Condominium/Townhouse	10	8 to 15	1	Own	Domestic	6,7	Economy	No	No	Train/Subway	Public transportation	24	No	No	No	No	Yes	No	No	No	No	No	Convenience	Slightly conservative	Yes	No	Yes	Discover	Platinum	Airline miles	No	16	More than 15	Visa	None	None	No	15	11 to 15	8	227,8	4	115,93	No	Oatmeal	39	No	4,15	1,42310833424261	126,7	4,84182208732709	No	0	 	0	 	No	0	 	0	 	Yes	16,75	2,81839825827108	700	6,5510803350434	No	0	 	0	 	No	No	No	None	Yes	Yes	No	No	No	Yes	18	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	No
3112-RYCBQD-YON	Zone 3	> 250,000	Male	65	>65	October	14	High school degree	Operation, Fabrication, General Labor	No	32	More than 15	No	224	5,41164605185504	$125+	16	5,0176	1,6129517317339	30,8224	3,42824169837215	No	Highly satisfied	Married	14	High school degree	2	0	0	0	0	0	0	0	0	Own	Single-family	41	More than 25	2	Own	Import	86,9	Luxury	Yes	No	Car	Single occupancy	21	Yes	No	No	Yes	Yes	No	No	No	No	No	No response	Liberal	No	No	No	American Express	Gold	None	No	40	More than 15	Mastercard	None	Cash back	No	30	More than 15	11	1152,85	4	607,16	Yes	Cereal	72	No	97,3	4,57779898919196	6988,55	8,85202837451051	Yes	51,5	3,94158180766969	3775	8,23615566168312	No	0	 	0	 	Yes	16	2,77258872223978	1110	7,01211529430638	No	0	 	0	 	Yes	No	No	Dial-up	No	Yes	Yes	No	No	Yes	20	Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No
7677-IKPCXS-EFR	Zone 2	> 250,000	Male	60	50-64	September	14	High school degree	Sales and Office	No	6	6 to 10	No	34	3,52636052461616	$25 - $49	10,2	,981444	-,018730322420604	2,486556	,910898620535779	Yes	Neutral	Unmarried	Not married	Not married	1	0	0	0	0	0	0	0	0	Rent	Condominium/Townhouse	22	16 to 25	0	N/A	N/A	N/A	N/A	N/A	No	Telecommute	Telecommute	30	No	No	No	No	No	Yes	No	No	No	Yes	No response	Slightly conservative	Yes	No	Yes	Visa	None	Cash back	No	6	6 to 10	Mastercard	None	None	No	5	2 to 5	9	431,25	9	170,64	Yes	Energy bar	14	Yes	5,25	1,65822807660353	85,2	4,44500143383527	Yes	22,5	3,11351530921037	336,1	5,81740873473106	No	0	 	0	 	Yes	20,5	3,02042488614436	245	5,50125821054473	Yes	28,3	3,34286180464919	373,05	5,92171245891752	No	Yes	No	Dial-up	Yes	Yes	Yes	Yes	No	Yes	19	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	Yes	No
3146-FGHMHR-DZP	Zone 5	50,000-249,999	Male	50	50-64	August	18	College degree	Sales and Office	No	8	6 to 10	No	103	4,63472898822964	$75 - $124	14	3,51848	1,25802907816787	10,90152	2,3889022290542	No	Neutral	Married	21	Post-undergraduate degree	2	0	0	0	0	0	0	0	0	Rent	Multiple-Family	24	16 to 25	1	Own	Import	46,9	Luxury	No	No	Carpool	Multiple occupancy	22	No	No	Yes	No	No	No	No	No	No	No	No response	Slightly conservative	Yes	No	No	Discover	None	Other	No	32	More than 15	American Express	Other	None	Yes	28	More than 15	9	316,45	14	433,85	No	Energy bar	70	No	44	3,78418963391826	3183,45	8,06572079334976	No	0	 	0	 	No	0	 	0	 	Yes	29,25	3,37587957367787	2000	7,60090245954208	No	0	 	0	 	Yes	No	No	Dial-up	No	No	No	No	No	Yes	23	Yes	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No
0054-HCDCVL-L8L	Zone 2	> 250,000	Female	25	25-34	January	15	Some college	Managerial and Professional	No	0	Less than 2	No	30	3,40119738166216	$25 - $49	4,7	,28341	-1,26086066653298	1,12659	,119195371174215	No	Highly dissatisfied	Married	14	High school degree	4	0	0	0	0	0	0	0	0	Own	Single-family	5	4 to 7	2	Own	Import	11,7	Economy	No	No	Car	Single occupancy	18	Yes	No	No	No	No	No	No	No	No	Yes	No response	Moderate	Yes	No	Yes	Visa	Other	Other	No	1	Less than 2	Mastercard	Other	Other	No	1	Less than 2	15	431,32	4	178,45	No	Energy bar	1	Yes	1,85	,615185639090233	1,85	,615185639090233	Yes	17,75	2,87638551592142	17,75	2,87638551592142	Yes	36,8	3,60549784517489	36,8	3,60549784517489	Yes	12	2,484906649788	12	2,484906649788	Yes	23,15	3,14199478053224	23,15	3,14199478053224	No	Yes	Yes	Other	Yes	Yes	Yes	Yes	Yes	Yes	25	Yes	No	Yes	No	Yes	Yes	Yes	No	No	No	Yes	Yes
1288-WWCLMX-XI6	Zone 5	2,500-9,999	Male	54	50-64	May	11	Did not complete high school	Sales and Office	No	11	11 to 15	No	37	3,61091791264422	$25 - $49	6,7	,190883	-1,6560946040754	2,288117	,827729208573769	No	Somewhat satisfied	Married	8	Did not complete high school	5	2	1	0	0	1	0	0	0	Own	Single-family	12	8 to 15	4	Own	Import	13,1	Economy	No	No	Car	Single occupancy	29	Yes	No	No	Yes	Yes	No	No	Yes	No	No	Prices	Moderate	No	No	No	Visa	Platinum	Other	No	22	More than 15	American Express	Gold	None	No	15	11 to 15	17	451,84	5	167,09	No	Cereal	47	No	9,55	2,25654115449264	503,05	6,22068956873806	Yes	30,25	3,40949618447685	1346,5	7,20526391225165	No	0	 	0	 	Yes	15,75	2,75684036527164	755	6,62671774924902	No	0	 	0	 	Yes	No	No	None	Yes	Yes	Yes	Yes	No	Yes	17	Yes	Yes	Yes	No	No	No	Yes	No	No	No	Yes	No
9313-GMBMTQ-ISP	Zone 3	50,000-249,999	Female	32	25-34	April	18	College degree	Agricultural and Natural Resources	No	5	2 to 5	No	27	3,29583686600433	$25 - $49	22,5	1,458	,377065633586466	4,617	1,52974514352485	Yes	Somewhat dissatisfied	Married	14	High school degree	3	8	0	2	0	0	0	0	6	Own	Single-family	10	8 to 15	1	Lease	Import	13	Economy	No	Yes	Bus	Public transportation	29	No	No	No	Yes	Yes	No	No	No	No	No	Prices	Moderate	No	No	No	American Express	Platinum	Cash back	No	13	11 to 15	Mastercard	Other	Airline miles	No	9	6 to 10	13	420,24	5	174,39	Yes	Cereal	28	No	9,75	2,27726728500976	301,95	5,71026144075391	Yes	13,5	2,60268968544438	387,55	5,95984487272752	No	0	 	0	 	Yes	11,5	2,4423470353692	275	5,61677109766657	No	0	 	0	 	Yes	No	No	Cable modem	No	Yes	No	Yes	Yes	Yes	18	Yes	Yes	Yes	No	Yes	Yes	No	No	Yes	No	No	No
